year,nuclear,geo,bio,hydro,wind,solar
2084,37057685.043258764,921291.7149751496,17193217.920928694,7013756.040795287,25621736.6583461,11926341.571428537
2085,37358425.22182926,928693.6557547323,17311051.385215282,7044629.880081002,25941580.257636867,12086614.714285672
2086,37659165.40040004,936095.596534315,17428884.84950187,7075503.719366716,26261423.856927633,12246887.857142806
2087,37959905.57897103,943497.5373138977,17546718.31378846,7106377.558652431,26581267.4562184,12407161.0
2088,38260645.75754215,950899.4780934805,17664551.778075047,7137251.397938145,26901111.055509165,12567434.142857134
2089,38561385.936113365,958301.4188730632,17782385.242361635,7168125.23722386,27220954.65479993,12727707.285714269
2090,38862126.11468465,965703.3596526459,17900218.706648223,7198999.076509574,27540798.254090697,12887980.428571403
2091,39162866.29325598,973105.3004322286,18018052.17093481,7229872.915795289,27860641.853381462,13048253.571428537
2092,39463606.471827336,980507.2412118113,18135885.6352214,7260746.7550810035,28180485.45267223,13208526.714285672
2093,39764346.65039872,987909.181991394,18253719.099507987,7291620.594366718,28500329.051962994,13368799.857142806
2094,40065086.82897011,995311.1227709767,18371552.563794576,7322494.433652433,28820172.65125376,13529073.0
2095,40365827.007541515,1002713.0635505595,18489386.028081164,7353368.272938147,29140016.250544526,13689346.142857134
2096,40666567.186112925,1010115.0043301422,18607219.492367752,7384242.112223862,29459859.84983529,13849619.285714269
2097,40967307.36468434,1017516.9451097249,18725052.95665434,7415115.951509576,29779703.449126057,14009892.428571403
2098,41268047.54325576,1024918.8858893076,18842886.42094093,7445989.790795291,30099547.048416823,14170165.571428537
2099,41568787.72182719,1032320.8266688903,18960719.885227516,7476863.630081005,30419390.64770759,14330438.714285672
2100,41869527.90039861,1039722.767448473,19078553.349514104,7507737.46936672,30739234.246998355,14490711.857142806
2101,42170268.07897004,1047124.7082280557,19196386.813800693,7538611.3086524345,31059077.84628912,14650985.0
2102,42471008.25754146,1054526.6490076385,19314220.27808728,7569485.147938149,31378921.445579886,14811258.142857134
2103,42771748.43611289,1061928.589787221,19432053.74237387,7600358.987223864,31698765.044870652,14971531.285714269
2104,43072488.61468431,1069330.5305668036,19549887.206660457,7631232.826509578,32018608.644161418,15131804.428571403
2105,43373228.79325574,1076732.4713463862,19667720.670947045,7662106.665795293,32338452.243452184,15292077.571428537
2106,43673968.971827164,1084134.4121259688,19785554.135233633,7692980.505081007,32658295.84274295,15452350.714285672
2107,43974709.15039859,1091536.3529055514,19903387.59952022,7723854.344366722,32978139.442033716,15612623.857142806
2108,44275449.328970015,1098938.293685134,20021221.06380681,7754728.183652436,33297983.04132448,15772897.0
2109,44576189.50754144,1106340.2344647166,20139054.528093398,7785602.022938151,33617826.64061525,15933170.142857134
2110,44876929.686112866,1113742.1752442992,20256887.992379986,7816475.862223865,33937670.23990601,16093443.285714269
2111,45177669.86468429,1121144.1160238818,20374721.456666574,7847349.70150958,34257513.83919678,16253716.428571403
2112,45478410.04325572,1128546.0568034644,20492554.920953162,7878223.540795295,34577357.438487545,16413989.571428537
2113,45779150.22182714,1135947.997583047,20610388.38523975,7909097.380081009,34897201.03777831,16574262.714285672
2114,46079890.40039857,1143349.9383626296,20728221.84952634,7939971.219366724,35217044.63706908,16734535.857142806
2115,46380630.57896999,1150751.8791422122,20846055.313812926,7970845.058652438,35536888.23635984,16894809.0
2116,46681370.75754142,1158153.8199217948,20963888.778099515,8001718.897938153,35856731.83565061,17055082.142857134
2117,46982110.93611284,1165555.7607013774,21081722.242386103,8032592.737223867,36176575.434941374,17215355.28571427
2118,47282851.11468427,1172957.70148096,21199555.70667269,8063466.576509582,36496419.03423214,17375628.428571403
2119,47583591.293255694,1180359.6422605426,21317389.17095928,8094340.415795296,36816262.633522905,17535901.571428537
2120,47884331.47182712,1187761.5830401252,21435222.635245867,8125214.255081011,37136106.23281367,17696174.71428567
2121,48185071.650398545,1195163.5238197078,21553056.099532455,8156088.0943667255,37455949.83210444,17856447.857142806
2122,48485811.82896997,1202565.4645992904,21670889.563819043,8186961.93365244,37775793.4313952,18016721.0
2123,48786552.007541396,1209967.405378873,21788723.02810563,8217835.772938155,38095637.03068597,18176994.142857134
2124,49087292.18611282,1217369.3461584556,21906556.49239222,8248709.612223869,38415480.629976735,18337267.28571427
2125,49388032.36468425,1224771.2869380382,22024389.956678808,8279583.451509584,38735324.2292675,18497540.428571403
2126,49688772.54325567,1232173.2277176208,22142223.420965396,8310457.290795298,39055167.828558266,18657813.571428537
2127,49989512.7218271,1239575.1684972034,22260056.885251984,8341331.130081013,39375011.42784903,18818086.71428567
2128,50290252.90039852,1246977.109276786,22377890.349538572,8372204.969366727,39694855.0271398,18978359.857142806
2129,50590993.07896995,1254379.0500563686,22495723.81382516,8403078.808652442,40014698.62643056,19138633.0
2130,50891733.25754137,1261780.9908359512,22613557.27811175,8433952.647938157,40334542.22572133,19298906.142857134
2131,51192473.4361128,1269182.9316155338,22731390.742398337,8464826.487223871,40654385.825012095,19459179.28571427
2132,51493213.614684224,1276584.8723951164,22849224.206684925,8495700.326509586,40974229.42430286,19619452.428571403
2133,51793953.79325565,1283986.813174699,22967057.670971513,8526574.1657953,41294073.02359363,19779725.571428537
2134,52094693.971827075,1291388.7539542816,23084891.1352581,8557448.005081015,41613916.62288439,19939998.71428567
2135,52395434.1503985,1298790.6947338642,23202724.59954469,8588321.84436673,41933760.22217516,20100271.857142806
2136,52696174.328969926,1306192.6355134468,23320558.063831277,8619195.683652444,42253603.821465924,20260545.0
2137,52996914.50754135,1313594.5762930294,23438391.528117865,8650069.522938158,42573447.42075669,20420818.142857134
2138,53297654.68611278,1320996.517072612,23556224.992404453,8680943.362223873,42893291.020047456,20581091.28571427
2139,53598394.8646842,1328398.4578521946,23674058.45669104,8711817.201509587,43213134.61933822,20741364.428571403
2140,53899135.04325563,1335800.3986317771,23791891.92097763,8742691.040795302,43532978.21862899,20901637.571428537
2141,54199875.22182705,1343202.3394113597,23909725.385264218,8773564.880081017,43852821.81791975,21061910.71428567
2142,54500615.40039848,1350604.2801909423,24027558.849550806,8804438.719366731,44172665.41721052,21222183.857142806
2143,54801355.5789699,1358006.220970525,24145392.313837394,8835312.558652446,44492509.016501285,21382456.99999994
2144,55102095.75754133,1365408.1617501075,24263225.778123982,8866186.39793816,44812352.61579205,21542730.142857134
2145,55402835.936112754,1372810.1025296901,24381059.24241057,8897060.237223875,45132196.21508282,21703003.28571427
2146,55703576.11468418,1380212.0433092727,24498892.70669716,8927934.07650959,45452039.81437358,21863276.428571403
2147,56004316.293255605,1387613.9840888553,24616726.170983747,8958807.915795304,45771883.41366435,22023549.571428537
2148,56305056.47182703,1395015.924868438,24734559.635270335,8989681.755081018,46091727.012955114,22183822.71428567
2149,56605796.650398456,1402417.8656480205,24852393.099556923,9020555.594366733,46411570.61224588,22344095.857142806
2150,56906536.82896988,1409819.8064276031,24970226.56384351,9051429.433652448,46731414.211536646,22504368.99999994
