,Year,EnergyConsumption
93,2110.0,181402777.33669013
94,2111.0,181514771.81181133
95,2112.0,181625542.23694488
96,2113.0,181735108.57050848
97,2114.0,181843490.33936316
98,2115.0,181950706.6504149
99,2116.0,182056776.2018442
100,2117.0,182161717.29397663
101,2118.0,182265547.83980906
102,2119.0,182368285.3752027
103,2120.0,182469947.06875652
104,2121.0,182570549.7313718
105,2122.0,182670109.82551923
106,2123.0,182768643.4742199
107,2124.0,182866166.46974912
108,2125.0,182962694.28207466
109,2126.0,183058242.0670373
110,2127.0,183152824.67428383
111,2128.0,183246456.65496075
112,2129.0,183339152.26917705
113,2130.0,183430925.4932445
114,2131.0,183521790.02670243
115,2132.0,183611759.29913542
116,2133.0,183700846.47678986
117,2134.0,183789064.4689974
118,2135.0,183876425.93441078
119,2136.0,183962943.28705946
120,2137.0,184048628.70223004
121,2138.0,184133494.12217823
122,2139.0,184217551.26167735
123,2140.0,184300811.6134093
124,2141.0,184383286.45320264
125,2142.0,184464986.8451234
126,2143.0,184545923.64642307
127,2144.0,184626107.51234832
128,2145.0,184705548.90081736
129,2146.0,184784258.07696688
130,2147.0,184862245.11757386
131,2148.0,184939519.91535607
132,2149.0,185016092.18315566
133,2150.0,185091971.4580087
134,2151.0,185167167.1051052
135,2152.0,185241688.321642
136,2153.0,185315544.14057317
137,2154.0,185388743.43425965
138,2155.0,185461294.91802266
139,2156.0,185533207.15360263
140,2157.0,185604488.55252752
141,2158.0,185675147.3793926
142,2159.0,185745191.75505483
143,2160.0,185814629.65974423
144,2161.0,185883468.9360947
145,2162.0,185951717.29209694
146,2163.0,186019382.30397546
147,2164.0,186086471.4189923
148,2165.0,186152991.95817944
149,2166.0,186218951.11900187
150,2167.0,186284355.9779538
151,2168.0,186349213.49308932
152,2169.0,186413530.5064903
153,2170.0,186477313.74667224
154,2171.0,186540569.83093107
155,2172.0,186603305.26763144
156,2173.0,186665526.45843923
157,2174.0,186727239.70049906
158,2175.0,186788451.18855873
159,2176.0,186849167.0170423
160,2177.0,186909393.18207267
161,2178.0,186969135.5834456
162,2179.0,187028400.0265564
163,2180.0,187087192.22428042
164,2181.0,187145517.79880887
